p,rmsstd,r2,calinski_harabasz,i_index,davies_bouldin,xie_beni,sd_index
0.001,0.08271814523019622,0.8392914188619993,100.2897774627601,0.00026952622610830165,2.447596094589454,3081.7119785226605,32932496.10842612
0.051000000000000004,0.08771756461320793,0.8202397955872067,91.17546456800372,0.00023248516965689595,2.4483799515597324,3508.4227672386546,33442807.588296723
0.101,0.09155548746288253,0.8053078370416098,77.16694026158066,0.00017343030125467992,2.52858452804343,2818.7161005845596,35799458.72879188
0.15100000000000002,0.09367029835159317,0.795306100407648,73.18198969186416,0.00015999371687056764,2.5627554495781673,3080.97625241129,39345163.58901041
0.201,0.09632661716119803,0.783451280360062,71.73793215606698,0.00015940336821203434,2.5585969698738555,3115.2022260202143,38171656.141319096
0.251,0.09700951392883556,0.7808920339143933,68.13563393060124,0.00014808072740816116,2.5617811617698494,2303.4035528227805,33410069.537544016
0.30100000000000005,0.0968382301748346,0.7819933725152609,71.60253670147851,0.00016360417901352726,2.5112561261336155,2472.023968440159,31157052.907638963
0.35100000000000003,0.09731166633118662,0.7797858435095998,74.63988981527626,0.00017485981418189557,2.4863050289678634,1835.7858949112087,26774688.67371463
0.401,0.09709926254157787,0.7811600443905492,72.53439111493455,0.0001679139802742758,2.511293818657566,2548.0407246193736,31676086.354131274
0.451,0.09595232048589306,0.7822383095891701,75.44641495042924,0.00017371376882027967,2.472069436282945,1745.6600549547436,25448898.31195709
0.501,0.09661674894527611,0.7790497198363389,79.91684362679327,0.00019730746326627495,2.45321319728311,1990.3389208482151,22883783.407077562
0.551,0.09598806066156997,0.7825353869616499,80.31082408118294,0.0001979723113679867,2.4520257578968248,2288.0108925379263,21448333.522807095
0.6010000000000001,0.0966612817176746,0.7786173093552448,82.00828907089962,0.00020320847802326737,2.450423682769924,1529.5902113884244,20312230.682937335
0.651,0.09612524973373535,0.7824280976894438,81.85655594616776,0.00020020558986827037,2.454429835992001,1495.7181452079594,18811335.7677756
0.7010000000000001,0.09516961671460407,0.7875579719485077,79.96732234207082,0.0001906487452495122,2.4695064888772147,2175.710692097368,21350651.15599178
0.751,0.0959736940707766,0.7836337638178892,84.49029375080354,0.00021070952120120319,2.451222879967621,2002.1334163077327,18998027.22187926
0.801,0.09787997742916156,0.7763673332282831,82.31156527452278,0.0002080287560710804,2.473164409208025,1907.758366815763,18995323.296982225
0.8510000000000001,0.09736696181965271,0.7779223699113474,92.09137571326622,0.00025102909303485667,2.435478069711663,2530.48717782755,14729237.432605887
0.901,0.09485176007124255,0.7888475656430101,99.91511176698477,0.0002847427319508732,2.4144283877713506,2261.0154362602184,13354532.18090595
0.9510000000000001,0.09027834944530833,0.8092165093196809,112.52965965177384,0.00034517206963651735,2.348975318909421,2609.467083442788,15026089.693693569
